iter	Logloss
0	0.688172717
1	0.6826381555
2	0.6773676837
3	0.6718820527
4	0.665202752
5	0.6602182248
6	0.6549972959
7	0.6502602879
8	0.6454023181
9	0.640683628
10	0.6362823555
11	0.630807483
12	0.6265344044
13	0.6221353121
14	0.6169703453
15	0.6112054318
16	0.6075239117
17	0.6031817951
18	0.5989779129
19	0.595315054
20	0.5921586833
21	0.5886809463
22	0.5847292024
23	0.5813021486
24	0.5771371511
25	0.5737343488
26	0.5705165259
27	0.5671294548
28	0.5642451346
29	0.5606249136
30	0.5576055105
31	0.5549121666
32	0.5521735663
33	0.5499549368
34	0.5474710562
35	0.5441993459
36	0.5407833514
37	0.5376916479
38	0.5354887813
39	0.533053137
40	0.5308949408
41	0.5285559197
42	0.5260978558
43	0.5241905705
44	0.5204002382
45	0.5184310388
46	0.5157683497
47	0.5135230246
48	0.5118675793
49	0.5101396804
50	0.5084793495
51	0.5060835533
52	0.5033755577
53	0.5017964459
54	0.5004225241
55	0.4988310121
56	0.4971033983
57	0.4951212127
58	0.4936071428
59	0.4914320382
60	0.4896135395
61	0.4875137707
62	0.4862220816
63	0.4842281398
64	0.4824998186
65	0.4812269938
66	0.4794184723
67	0.4769334805
68	0.4752313006
69	0.4738113226
70	0.4725452206
71	0.4714507133
72	0.4698393287
73	0.4686953207
74	0.4667942302
75	0.4646366491
76	0.4631443126
77	0.4611706525
78	0.4599669687
79	0.4588750111
80	0.4578763773
81	0.456665567
82	0.4552363534
83	0.4542596669
84	0.4532274617
85	0.4519944164
86	0.4508752617
87	0.4499355488
88	0.4484984354
89	0.4473160838
90	0.4462814423
91	0.4445973772
92	0.443431942
93	0.4422608003
94	0.4415881888
95	0.4403967944
96	0.4394218657
97	0.4387310076
98	0.4377869951
99	0.4372167846
100	0.4362158598
101	0.4356368203
102	0.4349312867
103	0.4341236109
104	0.4331754676
105	0.4325591112
106	0.4314804724
107	0.4308676687
108	0.4295485555
109	0.4288273805
110	0.4278657521
111	0.4267178034
112	0.4259273897
113	0.4249570273
114	0.4241286632
115	0.4234337667
116	0.4227728138
117	0.4221236937
118	0.4210074055
119	0.4202378383
120	0.4198096526
121	0.4192586443
122	0.418685467
123	0.4182487769
124	0.4176961506
125	0.4169259209
126	0.4164946602
127	0.4159935194
128	0.4156362246
129	0.4150890277
130	0.414641785
131	0.4141528993
132	0.4134565009
133	0.4128046041
134	0.4123809925
135	0.4117691866
136	0.4111820017
137	0.4104359496
138	0.4100203647
139	0.4096864081
140	0.4093038931
141	0.4088420409
142	0.4083994991
143	0.407925896
144	0.4075432649
145	0.4072622851
146	0.4069637951
147	0.4065239033
148	0.406194286
149	0.4057866143
150	0.4053319942
151	0.4051051025
152	0.4048844875
153	0.4045877501
154	0.4043423901
155	0.4039966641
156	0.4035142609
157	0.4032471199
158	0.4030249529
159	0.4027275293
160	0.4022392797
161	0.4017486572
162	0.4013528974
163	0.4011392374
164	0.400788214
165	0.4005291339
166	0.4001048177
167	0.3997452925
168	0.399248821
169	0.3988311166
170	0.3986533059
171	0.3983107789
172	0.3981323876
173	0.3979780075
174	0.3977550222
175	0.3975542323
176	0.3973822522
177	0.397107792
178	0.3966931652
179	0.3964352755
180	0.3962251155
181	0.3959161204
182	0.3957635061
183	0.3953330372
184	0.3950367248
185	0.3948862643
186	0.394438008
187	0.394185136
188	0.3939856157
189	0.3935841519
190	0.3934022501
191	0.3932633769
192	0.3930938383
193	0.3929548041
194	0.3928173588
195	0.392632514
196	0.3922684489
197	0.3919371925
198	0.391797121
199	0.3915892863
200	0.3914604484
201	0.3912949482
202	0.3910025422
203	0.3906409794
204	0.3904711504
205	0.3903342595
206	0.3898289141
207	0.3897164409
208	0.3895650619
209	0.3892395067
210	0.3890715386
211	0.3889329742
212	0.3888059285
213	0.3886398107
214	0.3885336907
215	0.3884164823
216	0.3881097334
217	0.3879381202
218	0.3878098102
219	0.3877189569
220	0.387573741
221	0.3874025132
222	0.3872907448
223	0.3871900542
224	0.3870891207
225	0.3869622492
226	0.3868226634
227	0.3866523752
228	0.3865685693
229	0.3864035865
230	0.3863052239
231	0.386195113
232	0.3861011742
233	0.3859779795
234	0.3857353222
235	0.3856484282
236	0.3854979228
237	0.3853407554
238	0.3852312754
239	0.3850010395
240	0.3847713289
241	0.3846782954
242	0.3846063328
243	0.3845087753
244	0.3844428571
245	0.3843549838
246	0.3842751794
247	0.3840483484
248	0.383974401
249	0.3838709125
250	0.383603885
251	0.3835202877
252	0.3834388283
253	0.3832789818
254	0.3831827863
255	0.3830691649
256	0.3829997653
257	0.3828979951
258	0.382825605
259	0.3827596287
260	0.3827075783
261	0.3826284813
262	0.3825684518
263	0.3823048371
264	0.3821180179
265	0.3820444928
266	0.3819611514
267	0.3817680054
268	0.3816237635
269	0.3815432438
270	0.3813650187
271	0.3811419727
272	0.3810269736
273	0.3809404992
274	0.3808718439
275	0.380795381
276	0.3807311494
277	0.3806627634
278	0.38059566
279	0.3804545143
280	0.380292741
281	0.3801914381
282	0.3801053042
283	0.3800554102
284	0.3799963019
285	0.3799371196
286	0.3798571093
287	0.3796518455
288	0.3795827599
289	0.3795293529
290	0.3794777459
291	0.3793906723
292	0.3793485992
293	0.3793013737
294	0.3792400086
295	0.379176854
296	0.3789890476
297	0.3789470826
298	0.378781044
299	0.3787113461
300	0.3783770965
301	0.3783268067
302	0.3782417549
303	0.3782009566
304	0.3780391253
305	0.3779307829
306	0.3778349991
307	0.3777488309
308	0.3776895589
309	0.3776392928
310	0.377589024
311	0.3775311351
312	0.3774881777
313	0.3774377506
314	0.3773919373
315	0.3773046288
316	0.3772536236
317	0.3771993139
318	0.3770846921
319	0.3770095358
320	0.3769634427
321	0.3769086182
322	0.3768764351
323	0.3767557637
324	0.3766097112
325	0.3765285237
326	0.3764911408
327	0.3764419358
328	0.3763372992
329	0.3762533877
330	0.3761980406
331	0.3760915617
332	0.3760434573
333	0.3759920615
334	0.3759229258
335	0.3757793279
336	0.3757287926
337	0.37561917
338	0.3755779151
339	0.3754382949
340	0.3753163671
341	0.3752682575
342	0.3752135676
343	0.3750939467
344	0.3750508072
345	0.3749539122
346	0.3749066656
347	0.3748272175
348	0.3747900537
349	0.3747560389
350	0.3747203532
351	0.3746532235
352	0.3745718301
353	0.3744961511
354	0.3744543736
355	0.3744171992
356	0.3743836278
357	0.3743386354
358	0.3742977315
